reference	hypA	hypB	annotation
parce que ces hommes sont sans chiffres	parce que ces armes sont sans chiffres	parce que ces hommes sont sans chiffre	0
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	ai mais est-ce que ces entreprises françaises comme euh causmose savaient euh comment le régime utilisait leur marté leur matériel	et mais est-ce que ces entreprises françaises comme cosmose savaient euh comment le régime utilisait laur marté(ri() leur matériel	1
mais est ce que ces entreprises françaises comme cosmos savaient comment le régime utilisait leur martel leur matériel	et mais est-ce que ces entreprises françaises comme cosmose savaient euh comment le régime utilisait laur marté(ri() leur matériel	ai mais est-ce que ces entreprises françaises comme euh causmose savaient euh comment le régime utilisait leur marté leur matériel	0
ses failles et et parfois justement ce que ça pouvait avoir de	ces failles et et parfois justement ce que ça pouvait avoir de mal	euh s' éfaillent et euh et parfois justement ce que ça pouvait avoir de enmer gural	1
ses failles et et parfois justement ce que ça pouvait avoir de	euh s' éfaillent et euh et parfois justement ce que ça pouvait avoir de enmer gural	ces failles et et parfois justement ce que ça pouvait avoir de mal	0
la droite dit c' est le prix du travail c' est le prix bien	vendredi c' est le prix du travail c' est le bien	un droit de dit c' est le prix du travail c' est le pi bien	0
la droite dit c' est le prix du travail c' est le prix bien	un droit de dit c' est le prix du travail c' est le pi bien	vendredi c' est le prix du travail c' est le bien	1
oui pourquoi pas ça peut donner des vocations	oui pourquoi pas ça ponnait une évocation	oui pourquoi pas ç' est peu donune évocation	1
oui pourquoi pas ça peut donner des vocations	oui pourquoi pas ç' est peu donune évocation	oui pourquoi pas ça ponnait une évocation	0
tu peux me rappeler ou pas	tu peux me rattrape pas	tu peux me rabat tout pas	1
tu peux me rappeler ou pas	tu peux me rabat tout pas	tu peux me rattrape pas	0
le nouveau président ne composait pas un gouvernement il recrutait dit elle pour un casting	le nouveau président ne composait pas un gouvernement il recrutait dit-elle pour un casting	le nouveau président ne composait pas un gouvernement il le recrutait dit-elle pour un casting	1
le nouveau président ne composait pas un gouvernement il recrutait dit elle pour un casting	le nouveau président ne composait pas un gouvernement il le recrutait dit-elle pour un casting	le nouveau président ne composait pas un gouvernement il recrutait dit-elle pour un casting	0
il y a une résignation alors y a des manifestations mais est ce que y a un plan b	est une résignation alors il y a des manifestations mais à ce que il y a un plan b	il y a une résignation alors il y a des manifestations mais est-ce que il y a un plan bé	0
il y a une résignation alors y a des manifestations mais est ce que y a un plan b	il y a une résignation alors il y a des manifestations mais est-ce que il y a un plan bé	est une résignation alors il y a des manifestations mais à ce que il y a un plan b	1
effectivement à côté du jeu politique et donc il est et c' est de la situation idéale	effectivement à côté du jeu politique et donc euh il est et c' est de la protitu idéale	effectivement à côté du jeu politique et donc euh il est c' est la poste situation idéale	0
effectivement à côté du jeu politique et donc il est et c' est de la situation idéale	effectivement à côté du jeu politique et donc euh il est c' est la poste situation idéale	effectivement à côté du jeu politique et donc euh il est et c' est de la protitu idéale	1
ça fait plaisir	l' effort	ça fait plaisir moi	0
ça fait plaisir	ça fait plaisir moi	l' effort	1
madame vers nous	madame bernourde	madame bernande	1
madame vers nous	madame bernande	madame bernourde	0
je pense que c' est mon devoir voyez vous monsieur barbier de rappeler	je pense que c' est mon devoir voyez-vous monsieur barbier de rappeler	je pense que c' est mon devoir voyez vous monsieur barbier dérappeler	1
je pense que c' est mon devoir voyez vous monsieur barbier de rappeler	je pense que c' est mon devoir voyez vous monsieur barbier dérappeler	je pense que c' est mon devoir voyez-vous monsieur barbier de rappeler	0
on faisait la grande famille c' était de midi et demi de douze heures trente à treize heures trente	on faisait la grande famille est et de midi et demi de douze heures trente à treize heures trente	euh on faisait la grande famille c' était de midi et demi de douze heures trente à treize heures trente	0
on faisait la grande famille c' était de midi et demi de douze heures trente à treize heures trente	euh on faisait la grande famille c' était de midi et demi de douze heures trente à treize heures trente	on faisait la grande famille est et de midi et demi de douze heures trente à treize heures trente	1
si c' est	si	je suisse	1
si c' est	je suisse	si	0
dont quatorze règlements de compte et douze tentatives	donc quatorze règlements de comptes et douze stentatives	donc quatorze règlements de compte et douze tentatives	0
dont quatorze règlements de compte et douze tentatives	donc quatorze règlements de compte et douze tentatives	donc quatorze règlements de comptes et douze stentatives	1
alors pourquoi valéry giscard d' estaing vote nicolas sarkozy	pourquoi valéry giscard d' estaing vote nicolas sarkozy	alors pourquoi valéri giscard d' estaing vote nicolas sarkozy	0
alors pourquoi valéry giscard d' estaing vote nicolas sarkozy	alors pourquoi valéri giscard d' estaing vote nicolas sarkozy	pourquoi valéry giscard d' estaing vote nicolas sarkozy	1
à chacun son style nous c' est encore façon gangnam qu' on le préfère	chacun son style nous fait encore face au préfet	à chacun son stile nous s' est encore face au gandlam conprisle frait	0
à chacun son style nous c' est encore façon gangnam qu' on le préfère	à chacun son stile nous s' est encore face au gandlam conprisle frait	chacun son style nous fait encore face au préfet	1
elle me paraît judicieuse attendons que monsieur gallois remette	elle me paraît judicieuse attendons que monsieur gallois remette son rapport	me paraît judicieuse attendant monsieur gallois remet son rapport	1
elle me paraît judicieuse attendons que monsieur gallois remette	me paraît judicieuse attendant monsieur gallois remet son rapport	elle me paraît judicieuse attendons que monsieur gallois remette son rapport	0
le le la table avec ses médicaments qui jouxtait sa qui jouxtait son lit je le revois encore regardant	une table avec ces médicaments qui jouxte sa qui toute cette folie je me revois encore regardant	le le l' attaque d' un effet uniquement qui s' occupaient ça euh qui oublie s' enlis euh i(ls) je le revends encore au gardant euh	1
le le la table avec ses médicaments qui jouxtait sa qui jouxtait son lit je le revois encore regardant	le le l' attaque d' un effet uniquement qui s' occupaient ça euh qui oublie s' enlis euh i(ls) je le revends encore au gardant euh	une table avec ces médicaments qui jouxte sa qui toute cette folie je me revois encore regardant	0
oui alors c' est c' est un peu l' avenir	oui alors euh euh c' est c' est un peu l' avenir	oui alors euh euh c'est c' est un peu l' avenir	0
oui alors c' est c' est un peu l' avenir	oui alors euh euh c'est c' est un peu l' avenir	oui alors euh euh c' est c' est un peu l' avenir	1
à jean françois copé d' avoir justement pris cette initiative	grét à eanfrançois copé d' avoir justement pris cette initiative	grée à jean-françois copé d' avoir justement pris cette initiative	0
à jean françois copé d' avoir justement pris cette initiative	grée à jean-françois copé d' avoir justement pris cette initiative	grét à eanfrançois copé d' avoir justement pris cette initiative	1
ce ce cette manière de le gommer est en fait absolument énorme	euh absolument énorme	euhh ce ce cette manière de le gommer est en fait euh absolument énorme	0
ce ce cette manière de le gommer est en fait absolument énorme	euhh ce ce cette manière de le gommer est en fait euh absolument énorme	euh absolument énorme	1
mais pour les autres catégories de personnel cette prime est choquante	mais pour les autres catégories de personnelles cette prime échoquante	mais pour les autres catégories de personnels cette prime est choquante	0
mais pour les autres catégories de personnel cette prime est choquante	mais pour les autres catégories de personnels cette prime est choquante	mais pour les autres catégories de personnelles cette prime échoquante	1
il fait une bonne campagne jean luc mélenchon ce serait pas honnête de ne pas le reconnaître	fait une bonne campagne de jean luc mélenchon se serait pas honnête de ne pas le reconnaître	il) fait de bonne campagne jean-alic mélenchon ce serait pas honnête de ne pas le reconnaître	1
il fait une bonne campagne jean luc mélenchon ce serait pas honnête de ne pas le reconnaître	il) fait de bonne campagne jean-alic mélenchon ce serait pas honnête de ne pas le reconnaître	fait une bonne campagne de jean luc mélenchon se serait pas honnête de ne pas le reconnaître	0
parce que tout va aller très vite	est ce que tout va aller très vite	parce que tout va arriler très vite	0
